Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2023-09-26 00:00:00-04:00,5.0,5.0,4.5,5.0,15764,0.0,0.0
2023-09-27 00:00:00-04:00,6.0,6.0,5.0,5.25,20436,0.0,0.0
2023-09-28 00:00:00-04:00,5.75,5.75,5.25,5.25,6376,0.0,0.0
2023-09-29 00:00:00-04:00,5.5,5.5,5.0,5.25,5660,0.0,0.0
2023-10-02 00:00:00-04:00,5.25,5.75,5.0,5.5,3828,0.0,0.0
2023-10-03 00:00:00-04:00,5.0,5.25,5.0,5.0,11636,0.0,0.0
2023-10-04 00:00:00-04:00,5.0,5.25,5.0,5.0,2264,0.0,0.0
2023-10-05 00:00:00-04:00,5.0,5.25,5.0,5.0,2992,0.0,0.0
2023-10-06 00:00:00-04:00,5.0,5.5,5.0,5.25,8404,0.0,0.0
2023-10-09 00:00:00-04:00,5.5,5.5,5.0,5.0,3560,0.0,0.0
2023-10-10 00:00:00-04:00,5.25,7.0,5.0,6.5,171248,0.0,0.0
2023-10-11 00:00:00-04:00,7.25,7.75,6.75,7.0,303584,0.0,0.0
2023-10-12 00:00:00-04:00,6.75,6.75,4.0,4.5,177828,0.0,0.0
2023-10-13 00:00:00-04:00,5.0,5.0,3.75,3.75,81188,0.0,0.0
2023-10-16 00:00:00-04:00,3.180000066757202,3.4000000953674316,2.859999895095825,3.2699999809265137,115800,0.0,0.0
2023-10-17 00:00:00-04:00,3.109999895095825,3.390000104904175,3.0999999046325684,3.240000009536743,52400,0.0,0.0
2023-10-18 00:00:00-04:00,3.0999999046325684,3.240000009536743,2.690000057220459,2.8499999046325684,71400,0.0,0.0
2023-10-19 00:00:00-04:00,2.7200000286102295,3.0,2.569999933242798,2.6500000953674316,79500,0.0,0.0
2023-10-20 00:00:00-04:00,2.5999999046325684,2.9600000381469727,2.4700000286102295,2.690000057220459,102900,0.0,0.0
2023-10-23 00:00:00-04:00,2.490000009536743,3.319999933242798,2.490000009536743,3.0299999713897705,97000,0.0,0.0
2023-10-24 00:00:00-04:00,3.3499999046325684,3.5899999141693115,2.9700000286102295,3.240000009536743,180800,0.0,0.0
2023-10-25 00:00:00-04:00,3.0999999046325684,3.200000047683716,2.990000009536743,3.0299999713897705,26100,0.0,0.0
2023-10-26 00:00:00-04:00,3.009999990463257,3.440000057220459,2.930000066757202,3.190000057220459,30100,0.0,0.0
2023-10-27 00:00:00-04:00,3.299999952316284,3.3499999046325684,3.0399999618530273,3.0799999237060547,17500,0.0,0.0
2023-10-30 00:00:00-04:00,3.1500000953674316,3.1500000953674316,2.369999885559082,2.509999990463257,108600,0.0,0.0
2023-10-31 00:00:00-04:00,2.4100000858306885,2.5399999618530273,2.259999990463257,2.4600000381469727,34100,0.0,0.0
2023-11-01 00:00:00-04:00,2.549999952316284,2.619999885559082,2.0899999141693115,2.390000104904175,17800,0.0,0.0
2023-11-02 00:00:00-04:00,2.4000000953674316,2.940000057220459,2.299999952316284,2.380000114440918,60300,0.0,0.0
2023-11-03 00:00:00-04:00,2.3299999237060547,2.4000000953674316,2.1600000858306885,2.3299999237060547,29500,0.0,0.0
2023-11-06 00:00:00-05:00,2.3399999141693115,2.680000066757202,2.3399999141693115,2.509999990463257,17100,0.0,0.0
2023-11-07 00:00:00-05:00,2.509999990463257,2.5199999809265137,2.4700000286102295,2.5199999809265137,8800,0.0,0.0
2023-11-08 00:00:00-05:00,2.5199999809265137,2.700000047683716,2.5199999809265137,2.6700000762939453,14700,0.0,0.0
2023-11-09 00:00:00-05:00,2.700000047683716,2.940000057220459,2.5899999141693115,2.5999999046325684,29600,0.0,0.0
2023-11-10 00:00:00-05:00,2.5299999713897705,2.7799999713897705,2.4700000286102295,2.509999990463257,30500,0.0,0.0
2023-11-13 00:00:00-05:00,2.509999990463257,2.509999990463257,2.3299999237060547,2.380000114440918,14600,0.0,0.0
2023-11-14 00:00:00-05:00,2.450000047683716,2.609999895095825,2.3299999237060547,2.430000066757202,25000,0.0,0.0
