Date,fdate,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-17 00:00:00-05:00,2024-01-17,5.869999885559082,5.889999866485596,5.840000152587891,5.849999904632568,15100,0.0,0.0
2024-01-18 00:00:00-05:00,2024-01-18,5.889999866485596,5.889999866485596,5.840000152587891,5.849999904632568,8100,0.0,0.0
2024-01-19 00:00:00-05:00,2024-01-19,5.860000133514404,5.860000133514404,5.789999961853027,5.800000190734863,9100,0.0,0.0
2024-01-22 00:00:00-05:00,2024-01-22,5.869999885559082,5.869999885559082,5.820000171661377,5.820000171661377,10200,0.0,0.0
2024-01-23 00:00:00-05:00,2024-01-23,5.849999904632568,5.849999904632568,5.820000171661377,5.829999923706055,1500,0.0,0.0
2024-01-24 00:00:00-05:00,2024-01-24,5.869999885559082,5.869999885559082,5.789999961853027,5.840000152587891,3200,0.0,0.0
2024-01-25 00:00:00-05:00,2024-01-25,5.880000114440918,5.889999866485596,5.860000133514404,5.880000114440918,6400,0.0,0.0
2024-01-26 00:00:00-05:00,2024-01-26,5.909999847412109,5.909999847412109,5.849999904632568,5.849999904632568,2400,0.0,0.0
2024-01-29 00:00:00-05:00,2024-01-29,5.880000114440918,6.019999980926514,5.769999980926514,5.929999828338623,56700,0.0,0.0
2024-01-30 00:00:00-05:00,2024-01-30,5.989999771118164,6.0,5.940000057220459,5.960000038146973,15500,0.0,0.0
2024-01-31 00:00:00-05:00,2024-01-31,5.900000095367432,6.0,5.900000095367432,5.989999771118164,13400,0.0,0.0
2024-02-01 00:00:00-05:00,2024-02-01,6.039999961853027,6.090000152587891,6.0,6.050000190734863,19000,0.0,0.0
2024-02-02 00:00:00-05:00,2024-02-02,6.050000190734863,6.050000190734863,5.980000019073486,5.989999771118164,3500,0.0,0.0
2024-02-05 00:00:00-05:00,2024-02-05,5.96999979019165,5.96999979019165,5.900000095367432,5.929999828338623,3800,0.0,0.0
2024-02-06 00:00:00-05:00,2024-02-06,5.889999866485596,5.949999809265137,5.849999904632568,5.909999847412109,34400,0.0,0.0
2024-02-07 00:00:00-05:00,2024-02-07,5.869999885559082,5.929999828338623,5.869999885559082,5.909999847412109,12000,0.0,0.0
2024-02-08 00:00:00-05:00,2024-02-08,5.889999866485596,5.909999847412109,5.889999866485596,5.909999847412109,2600,0.0,0.0
2024-02-09 00:00:00-05:00,2024-02-09,5.840000152587891,5.900000095367432,5.840000152587891,5.900000095367432,3600,0.0,0.0
2024-02-12 00:00:00-05:00,2024-02-12,5.860000133514404,5.920000076293945,5.860000133514404,5.869999885559082,22000,0.0,0.0
2024-02-13 00:00:00-05:00,2024-02-13,5.829999923706055,5.840000152587891,5.769999980926514,5.829999923706055,12200,0.0,0.0
2024-02-14 00:00:00-05:00,2024-02-14,5.78000020980835,5.849999904632568,5.78000020980835,5.849999904632568,6800,0.0,0.0
2024-02-15 00:00:00-05:00,2024-02-15,5.820000171661377,5.900000095367432,5.820000171661377,5.900000095367432,7300,0.0,0.0
2024-02-16 00:00:00-05:00,2024-02-16,5.869999885559082,5.889999866485596,5.849999904632568,5.869999885559082,12400,0.0,0.0
2024-02-20 00:00:00-05:00,2024-02-20,5.869999885559082,5.920000076293945,5.849999904632568,5.920000076293945,54500,0.0,0.0
2024-02-21 00:00:00-05:00,2024-02-21,5.909999847412109,5.949999809265137,5.900000095367432,5.900000095367432,16400,0.0,0.0
2024-02-22 00:00:00-05:00,2024-02-22,5.880000114440918,5.940000057220459,5.880000114440918,5.929999828338623,7000,0.0,0.0
2024-02-23 00:00:00-05:00,2024-02-23,5.949999809265137,5.949999809265137,5.920000076293945,5.940000057220459,9200,0.0,0.0
2024-02-26 00:00:00-05:00,2024-02-26,5.960000038146973,6.019999980926514,5.940000057220459,5.980000019073486,27600,0.0,0.0
